1,ash|shuriken,Shuriken
2,ash|smoke_screen,Smoke Screen
3,ash|teleport,Teleport
4,ash|blade_storm,Blade Storm
5,ember|fireball,Fireball
6,ember|immolation,Immolation
7,ember|fire_blast,Fire Blast
8,ember|inferno,Inferno
9,excalibur|slash_dash,Slash Dash
10,excalibur|radial_blind,Radial Blind
11,excalibur|radial_javelin,Radial Javelin
12,excalibur|exalted_blade,Exalted Blade
13,frost|freeze,Freeze
14,frost|ice_wave,Ice Wave
15,frost|snow_globe,Snow Globe
16,frost|avalanche,Avalanche
17,loki|decoy,Decoy
18,loki|invisibility,Invisibility
19,loki|switch_teleport,Switch Teleport
20,loki|radial_disarm,Radial Disarm
21,mag|pull,Pull
22,mag|magnetize,Magnetize
23,mag|polarize,Polarize
24,mag|crush,Crush
25,banshee|sonic_boom,Sonic Boom
26,banshee|sonar,Sonar
27,banshee|silence,Silence
28,banshee|sound_quake,Sound Quake
29,nekros|soul_punch,Soul Punch
30,nekros|terrify,Terrify
31,nekros|desecrate,Desecrate
32,nekros|shadow_of_the_dead,Shadows of the Dead
33,nova|null_star,Null Star
34,nova|antimatter_drop,Antimatter Drop
35,nova|worm_hole,Worm Hole
36,nova|molecular_prime,Molecular Prime
37,nyx|mind_control,Mind Control
38,nyx|psychic_bolts,Psychic Bolts
39,nyx|chaos,Chaos
40,nyx|absorb,Absorb
41,oberon|smite,Smite
42,oberon|hallowed_ground,Hallowed Ground
43,oberon|renewal,Renewal
44,oberon|reckoning,Reckoning
45,rhino|rhino_charge,Rhino Charge
46,rhino|iron_skin,Iron Skin
47,rhino|roar,Roar
48,rhino|rhino_stomp,Rhino Stomp
49,saryn|spores,Spores
50,saryn|molt,Molt
51,saryn|toxic_lash,Toxic Lash
52,saryn|miasma,Miasma
53,trinity|well_of_life,Well Of Life
54,trinity|energy_vampire,Energy Vampire
55,trinity|link,Link
56,trinity|blessing,Blessing
57,valkyr|rip_line,Ripline
58,valkyr|warcry,Warcry
59,valkyr|paralysis,Paralysis
60,valkyr|hysteria,Hysteria
61,vauban|tesla_nervos,Tesla Nervos
62,vauban|minelayer,Minelayer
63,vauban|photon_strike,Photon Strike
64,vauban|bastille,Bastille
65,volt|shock,Shock
66,volt|speed,Speed
67,volt|electric_shield,Electric Shield
68,volt|discharge,Discharge
69,zephyr|tail_wind,Tail Wind
70,zephyr|airburst,Airburst
71,zephyr|turbulence,Turbulence
72,zephyr|tornado,Tornado
73,hydroid|tempest_barrage,Tempest Barrage
74,hydroid|tidal_surge,Tidal Surge
75,hydroid|undertow,Undertow
76,hydroid|tentacle_swarm,Tentacle Swarm
77,mirage|hall_of_mirrors,Hall of Mirrors
78,mirage|sleight_of_hand,Sleight of Hand
79,mirage|eclipse,Eclipse
80,mirage|prism,Prism
81,limbo|banish,Banish
