1,ash|shuriken,Shuriken
2,ash|smoke_screen,Écran de fumée
3,ash|teleport,Téléportation
4,ash|blade_storm,Tempête de Lames
5,ember|fireball,Boule de Feu
6,ember|immolation,Immolation
7,ember|fire_blast,Souffle de feu
8,ember|inferno,Inferno
9,excalibur|slash_dash,Élan tranchant
10,excalibur|radial_blind,Aveuglement Radial
11,excalibur|radial_javelin,Radial Javelin
12,excalibur|exalted_blade,Exalted Blade
13,frost|freeze,Gel
14,frost|ice_wave,Vague de glace
15,frost|snow_globe,Boule de neige
16,frost|avalanche,Avalanche
17,loki|decoy,Leurre
18,loki|invisibility,Invisibilité
19,loki|switch_teleport,Transposition
20,loki|radial_disarm,Désarmement radial
21,mag|pull,Attirer
22,mag|magnetize,Magnetize
23,mag|polarize,Polarize
24,mag|crush,Écrasement
25,banshee|sonic_boom,Explosion sonique
26,banshee|sonar,Sonar
27,banshee|silence,Silence
28,banshee|sound_quake,Secousse sonique
29,nekros|soul_punch,Perforation d'âme
30,nekros|terrify,Terrification
31,nekros|desecrate,Profanation
32,nekros|shadow_of_the_dead,Ombres des Morts
33,nova|null_star,Étoile Zéro
34,nova|antimatter_drop,Lâché d'antimatière
35,nova|worm_hole,Trou de ver
36,nova|molecular_prime,Amorce moléculaire
37,nyx|mind_control,Contrôle mental
38,nyx|psychic_bolts,Carreaux Psychiques
39,nyx|chaos,Chaos
40,nyx|absorb,Absorption
41,oberon|smite,Châtiment
42,oberon|hallowed_ground,Bénédiction Terrestre
43,oberon|renewal,Renouvellement
44,oberon|reckoning,Jugement
45,rhino|rhino_charge,Charge Rhino
46,rhino|iron_skin,Peau de Fer
47,rhino|roar,Rugissement
48,rhino|rhino_stomp,Piétinement Rhino
49,saryn|spores,Spores
50,saryn|molt,Mue
51,saryn|toxic_lash,Toxic Lash
52,saryn|miasma,Miasme
53,trinity|well_of_life,Puits de vie
54,trinity|energy_vampire,Vampire d'Énergie
55,trinity|link,Lien
56,trinity|blessing,Bénédiction
57,valkyr|rip_line,Ligne d'Arrachage
58,valkyr|warcry,Cri de Guerre
59,valkyr|paralysis,Paralysie
60,valkyr|hysteria,Hystérie
61,vauban|tesla_nervos,Tesla Nervos
62,vauban|minelayer,Minelayer
63,vauban|photon_strike,Photon Strike
64,vauban|bastille,Bastille
65,volt|shock,Choc
66,volt|speed,Vitesse
67,volt|electric_shield,Bouclier électrique
68,volt|discharge,Discharge
69,zephyr|tail_wind,Vent Contraire
70,zephyr|airburst,Airburst
71,zephyr|turbulence,Turbulence
72,zephyr|tornado,Tornade
73,hydroid|tempest_barrage,Barrage Tempête
74,hydroid|tidal_surge,Raz-de-marée
75,hydroid|undertow,Contre-courant
76,hydroid|tentacle_swarm,Essaim de Tentacules
77,mirage|hall_of_mirrors,Galerie des Glaces
78,mirage|sleight_of_hand,Tour de Passe
79,mirage|eclipse,Éclipse
