1,ash|shuriken,Сюрикен
2,ash|smoke_screen,Дымовая завеса
3,ash|teleport,Телепорт
4,ash|blade_storm,Буря клинков
5,ember|fireball,Огненный Шар
6,ember|immolation,Immolation
7,ember|fire_blast,Огненный Взрыв
8,ember|inferno,Inferno
9,excalibur|slash_dash,Рассекающий рывок
10,excalibur|radial_blind,Ослепляющий свет
11,excalibur|radial_javelin,Radial Javelin
12,excalibur|exalted_blade,Exalted Blade
13,frost|freeze,Заморозка
14,frost|ice_wave,Ледяная волна
15,frost|snow_globe,Снежная сфера
16,frost|avalanche,Лавина
17,loki|decoy,Приманка
18,loki|invisibility,Невидимость
19,loki|switch_teleport,Транспозиция
20,loki|radial_disarm,Обезоруживание
21,mag|pull,Притяжение
22,mag|magnetize,Magnetize
23,mag|polarize,Polarize
24,mag|crush,Сокрушение
25,banshee|sonic_boom,Звуковой удар
26,banshee|sonar,Сонар
27,banshee|silence,Тишина
28,banshee|sound_quake,Звуковой взрыв
29,nekros|soul_punch,Удар души
30,nekros|terrify,Устрашение
31,nekros|desecrate,Осквернение
32,nekros|shadow_of_the_dead,Тени мёртвых
33,nova|null_star,Звезда пустоты
34,nova|antimatter_drop,Сброс антивещества
35,nova|worm_hole,Червоточина
36,nova|molecular_prime,Молекулярный заряд
37,nyx|mind_control,Власть над разумом
38,nyx|psychic_bolts,Псионические болты
39,nyx|chaos,Хаос
40,nyx|absorb,Поглощение
41,oberon|smite,Кара
42,oberon|hallowed_ground,Святая земля
43,oberon|renewal,Восстановление
44,oberon|reckoning,Искупление
45,rhino|rhino_charge,Рывок Рино
46,rhino|iron_skin,Железная кожа
47,rhino|roar,Рёв
48,rhino|rhino_stomp,Топот Рино
49,saryn|spores,Spores
50,saryn|molt,Линька
51,saryn|toxic_lash,Toxic Lash
52,saryn|miasma,Миазма
53,trinity|well_of_life,Источник жизни
54,trinity|energy_vampire,Энергетический вампир
55,trinity|link,Связь
56,trinity|blessing,Благословление
57,valkyr|rip_line,Разрывающий шнур
58,valkyr|warcry,Боевой клич
59,valkyr|paralysis,Паралич
60,valkyr|hysteria,Истерия
61,vauban|tesla_nervos,Tesla Nervos
62,vauban|minelayer,Minelayer
63,vauban|photon_strike,Photon Strike
64,vauban|bastille,Bastille
65,volt|shock,Шок
66,volt|speed,Скорость
67,volt|electric_shield,Электрический щит
68,volt|discharge,Discharge
69,zephyr|tail_wind,Попутный ветер
70,zephyr|airburst,Airburst
71,zephyr|turbulence,Турбулентность
72,zephyr|tornado,Торнадо
73,hydroid|tempest_barrage,Грозовой шквал
74,hydroid|tidal_surge,Приливная волна
75,hydroid|undertow,Отлив
76,hydroid|tentacle_swarm,Рой щупалец
77,mirage|hall_of_mirrors,Hall of Mirrors
78,mirage|sleight_of_hand,Sleight of Hand
79,mirage|eclipse,Eclipse
80,mirage|prism,Prism
81,limbo|banish,Banish
82,limbo|rift_walk,Stasis
83,limbo|rift_surge,Rift Surge
84,limbo|cataclysm,Cataclysm
85,odonata|energy_shell,Energy Shell
86,odonata|disarray,Disarray
87,odonata|seeking_fire,Seeking Fire
88,odonata|repel,Repel
89,elytron|bloomer,Bloomer
90,elytron|core_vent,Core Vent
91,elytron|thumper,Thumper
92,elytron|warhead,Warhead
93,mesa|ballistic_battery,Ballistic Battery
94,mesa|shooting_gallery,Shooting Gallery
95,mesa|shatter_shield,Shatter Shield
96,mesa|peacemaker,Peacemaker
97,itzal|blink,Blink
98,itzal|penumbra,Penumbra
99,itzal|cosmic_crush,Cosmic Crush
100,itzal|fighter_escort,Fighter Escort
101,chroma|spectral_scream,Spectral Scream
102,chroma|elemental_ward,Elemental Ward
103,chroma|vex_armor,Vex Armor
104,chroma|effigy,Effigy
105,equinox|metamorphosis,Metamorphosis
106,equinox|rest_&_rage,Rest & Rage
107,equinox|pacify_&_provoke,Pacify & Provoke
108,equinox|mend_&_maim,Mend & Maim
109,atlas|landslide,Landslide
110,atlas|tectonics,Tectonics
111,atlas|petrify,Petrify
112,atlas|rumblers,Rumblers
113,wukong|celestial_twin,Celestial Twin
114,wukong|cloud_walker,Cloud Walker
115,wukong|defy,Defy
116,wukong|primal_fury,Primal Fury
117,ivara|quiver,Quiver
118,ivara|navigator,Navigator
119,ivara|prowl,Prowl
120,ivara|artemis_bow,Artemis Bow
121,nezha|fire_walker,Fire Walker
